,Date,Open
614,2022-01-10,41910.230469
615,2022-01-11,41819.507813
616,2022-01-12,42742.179688
617,2022-01-13,43946.742188
618,2022-01-14,42598.871094
619,2022-01-15,43101.898438
620,2022-01-16,43172.039063
621,2022-01-17,43118.121094
622,2022-01-18,42250.074219
623,2022-01-19,42374.039063
624,2022-01-20,41744.027344
625,2022-01-21,40699.605469
626,2022-01-22,36471.589844
627,2022-01-23,35047.359375
628,2022-01-24,36275.734375
629,2022-01-25,36654.804688
630,2022-01-26,36950.515625
631,2022-01-27,36841.878906
632,2022-01-28,37128.445313
633,2022-01-29,37780.714844
634,2022-01-30,38151.917969
635,2022-01-31,37920.28125
636,2022-02-01,38481.765625
637,2022-02-02,38743.714844
638,2022-02-03,36944.804688
639,2022-02-04,37149.265625
640,2022-02-05,41501.480469
641,2022-02-06,41441.121094
642,2022-02-07,42406.78125
643,2022-02-08,43854.652344
644,2022-02-09,44096.703125
645,2022-02-10,44347.800781
646,2022-02-11,43571.128906
647,2022-02-12,42412.300781
648,2022-02-13,42236.566406
649,2022-02-14,42157.398438
650,2022-02-15,42586.464844
651,2022-02-16,44578.277344
652,2022-02-17,43937.070313
653,2022-02-18,40552.132813
654,2022-02-19,40026.023438
655,2022-02-20,40118.101563
656,2022-02-21,38423.210938
657,2022-02-22,37068.769531
658,2022-02-23,38285.28125
659,2022-02-24,37278.566406
660,2022-02-25,38333.746094
661,2022-02-26,39213.082031
662,2022-02-27,39098.699219
663,2022-02-28,37706.0
664,2022-03-01,43194.503906
665,2022-03-02,44357.617188
666,2022-03-03,43925.195313
667,2022-03-04,42458.140625
668,2022-03-05,39148.449219
669,2022-03-06,39404.199219
670,2022-03-07,38429.304688
671,2022-03-08,38059.902344
672,2022-03-09,38742.816406
673,2022-03-10,41974.070313
674,2022-03-11,39439.96875
675,2022-03-12,38794.464844
676,2022-03-13,38884.726563
677,2022-03-14,37846.316406
678,2022-03-15,39664.25
679,2022-03-16,39335.570313
680,2022-03-17,41140.84375
681,2022-03-18,40944.839844
682,2022-03-19,41794.648438
683,2022-03-20,42191.40625
684,2022-03-21,41246.132813
685,2022-03-22,41074.105469
686,2022-03-23,42364.378906
687,2022-03-24,42886.652344
688,2022-03-25,43964.546875
689,2022-03-26,44349.859375
690,2022-03-27,44505.355469
691,2022-03-28,46821.851563
692,2022-03-29,47100.4375
693,2022-03-30,47456.898438
694,2022-03-31,47062.148438
695,2022-04-01,45554.164063
696,2022-04-02,46285.5
697,2022-04-03,45859.128906
698,2022-04-04,46445.273438
699,2022-04-05,46624.507813
700,2022-04-06,45544.355469
701,2022-04-07,43207.5
702,2022-04-08,43505.136719
703,2022-04-09,42282.078125
704,2022-04-10,42781.089844
705,2022-04-11,42201.039063
706,2022-04-12,39533.714844
707,2022-04-13,40123.570313
708,2022-04-14,41160.21875
709,2022-04-15,39939.402344
710,2022-04-16,40552.316406
711,2022-04-17,40417.777344
712,2022-04-18,39721.203125
713,2022-04-19,40828.175781
714,2022-04-20,41501.746094
715,2022-04-21,41371.515625
716,2022-04-22,40525.863281
717,2022-04-23,39738.722656
718,2022-04-24,39478.375
719,2022-04-25,39472.605469
720,2022-04-26,40448.421875
721,2022-04-27,38120.300781
722,2022-04-28,39241.429688
723,2022-04-29,39768.617188
724,2022-04-30,38605.859375
725,2022-05-01,37713.265625
726,2022-05-02,38472.1875
727,2022-05-03,38528.109375
728,2022-05-04,37748.011719
729,2022-05-05,39727.386719
